Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
2104 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2104 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
2105 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2105 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2105 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
2108 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2108 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2108 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2109 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2109 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2112 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2112 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2112 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2113 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2113 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2113 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2116 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2116 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2117 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2117 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2117 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2120 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2121 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2121 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2124 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2124 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2125 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
