COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
2212 Pokeberry Park,783.71,,"2212 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2213 Ice House Way,783.71,,"2213 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2213 Pokeberry Park,783.71,,"2213 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2216 Ice House Way,783.71,,"2216 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2216 Pokeberry Park,783.71,,"2216 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2217 Ice House Way,783.71,,"2217 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2217 Pokeberry Park,783.71,,"2217 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2220 Ice House Way,783.71,,"2220 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2220 Pokeberry Park,783.71,,"2220 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2221 Ice House Way,783.71,,"2221 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2221 Pokeberry Park,783.71,,"2221 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2224 Ice House Way,783.71,,"2224 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2224 Pokeberry Park,783.71,,"2224 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2225 Ice House Way,783.71,,"2225 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2225 Pokeberry Park,783.71,,"2225 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2228 Pokeberry Park,783.71,,"2228 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2229 Ice House Way,783.71,,"2229 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2229 Pokeberry Park,783.71,,"2229 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2232 Ice House Way,783.71,,"2232 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2232 Pokeberry Park,783.71,,"2232 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2233 Pokeberry Park,783.71,,"2233 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2236 Ice House Way,783.71,,"2236 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2236 Pokeberry Park,783.71,,"2236 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2237 Ice House Way,783.71,,"2237 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2237 Pokeberry Park,783.71,,"2237 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2240 Ice House Way,783.71,,"2240 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2240 Pokeberry Park,783.71,,"2240 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2241 Ice House Way,783.71,,"2241 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
