Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
200 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
204 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
204 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
205 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
208 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
208 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
209 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
212 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
217 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
220 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
221 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
224 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
228 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
229 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
232 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
233 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
236 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
237 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3888 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3892 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3893 Tatton Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-490,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
169 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
172 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
173 Ellerslie Park Boulevard,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
173 Somersly Place,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-489,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
