Address,entry_date,,,,
2241 Pokeberry Park,5/18/09,,,,
2241 Shaker Run Road,12/9/00,,,,
2244 Ice House Way,3/24/08,,,,
2245 Ice House Way,10/6/08,,,,
2245 Pokeberry Park,12/9/08,,,,
2248 Ice House Way,3/27/09,,,,
2248 Pokeberry Park,7/15/14,,,,
2249 Blackmoor Park Lane,2/8/00,,,,
2249 Ice House Way,1/25/10,,,,
2249 Shaker Run Road,4/10/00,,,,
2250 Hume Road,3/1/06,,,,
2252 Pokeberry Park,10/23/08,,,,
2253 Ice House Way,11/19/09,,,,
2253 Shaker Run Road,4/10/00,,,,
2256 Ice House Way,7/2/08,,,,
2256 Pokeberry Park,5/19/10,,,,
2256 Shaker Run Road,2/28/02,,,,
2257 Shaker Run Road,1/19/06,,,,
2260 Blackmoor Park Lane,2/20/02,,,,
2260 Ice House Way,11/2/07,,,,
2260 Pokeberry Park,12/5/07,,,,
2261 Ice House Way,8/12/08,,,,
2261 Pokeberry Park,5/13/09,,,,
2261 Shaker Run Road,8/21/00,,,,
2264 Ice House Way,11/2/07,,,,
2264 Shaker Run Road,2/28/02,,,,
2265 Blackmoor Park Lane,2/8/00,,,,
2265 Shaker Run Road,2/7/02,,,,
2268 Ice House Way,7/2/08,,,,
2276 Ice House Way,5/12/09,,,,
2280 Ice House Way,10/25/07,,,,
2284 Ice House Way,12/26/07,,,,
2285 Ice House Way,11/8/07,,,,
2288 Ice House Way,5/7/08,,,,
2292 Ice House Way,6/30/08,,,,
2296 Ice House Way,11/1/07,,,,
2297 Ice House Way,11/8/07,,,,
2300 Ice House Way,4/15/09,,,,
2300 Iris Cove,10/11/04,,,,
2300 Patton Court,3/26/04,,,,
2301 Patton Court,3/26/04,,,,
2304 Ice House Way,12/26/07,,,,
2304 Patton Court,3/26/04,,,,
2305 Patton Court,3/26/04,,,,
2308 Ice House Way,3/9/10,,,,
2308 Iris Cove,8/3/04,,,,
2308 Patton Court,3/26/04,,,,
2309 Patton Court,3/26/04,,,,
2312 Ice House Way,3/8/10,,,,
2316 Cross Creek Trace,3/26/04,,,,
2316 Ice House Way,4/21/08,,,,
2317 Cross Creek Trace,3/26/04,,,,
2317 Ice House Way,3/24/08,,,,
2320 Cross Creek Trace,3/26/04,,,,
2320 Ice House Way,3/10/08,,,,
2321 Cross Creek Trace,3/26/04,,,,
2324 Cross Creek Trace,3/26/04,,,,
2324 Ice House Way,3/10/08,,,,
2325 Cross Creek Trace,3/26/04,,,,
2328 Cross Creek Trace,3/26/04,,,,
2328 Ice House Way,6/11/08,,,,
2329 Cross Creek Trace,3/26/04,,,,
233 Grassland Park,9/4/12,,,,
2332 Cross Creek Trace,3/26/04,,,,
2332 Ice House Way,6/11/08,,,,
2333 Ice House Way,6/25/09,,,,
2336 Cross Creek Trace,3/26/04,,,,
2336 Ice House Way,6/15/10,,,,
2337 Cross Creek Trace,3/26/04,,,,
2340 Ice House Way,6/15/10,,,,
2344 Ice House Way,10/10/08,,,,
2348 Ice House Way,12/10/07,,,,
2349 Ice House Way,10/1/12,,,,
2352 Ice House Way,8/26/08,,,,
2353 Ice House Way,3/2/09,,,,
2356 Ice House Way,8/26/08,,,,
2356 Newtown Pike,12/18/13,,,,
2357 Ice House Way,10/19/10,,,,
2360 Ice House Way,11/1/07,,,,
2364 Ice House Way,10/8/08,,,,
2365 Ice House Way,11/15/07,,,,
2368 Ice House Way,4/17/09,,,,
2372 Ice House Way,9/14/10,,,,
2376 Ice House Way,2/4/08,,,,
2377 Ice House Way,6/4/08,,,,
2380 Ice House Way,11/15/07,,,,
2381 Ice House Way,3/16/09,,,,
2384 Ice House Way,11/15/07,,,,
2385 Ice House Way,5/19/11,,,,
2388 Ice House Way,11/15/07,,,,
2389 Ice House Way,10/26/09,,,,
2392 Ice House Way,11/15/07,,,,
2393 Ice House Way,12/17/08,,,,
2396 Ice House Way,2/2/10,,,,
2397 Ice House Way,12/16/09,,,,
2500 Cayman Heights,6/5/14,,,,
2500 Polo Club Boulevard,9/8/16,,,,
2501 Cayman Heights,12/17/13,,,,
2509 Cayman Heights,7/8/14,,,,
2517 Cayman Heights,10/3/14,,,,
2524 Cayman Heights,12/14/16,,,,
2525 Cayman Heights,7/25/13,,,,
2532 Cayman Heights,8/15/16,,,,
2533 Cayman Heights,4/21/16,,,,
2540 Cayman Heights,11/19/18,,,,
2548 Cayman Heights,8/8/17,,,,
2561 Cayman Heights,4/13/18,,,,
2593 Cayman Heights,2/17/17,,,,
2601 Cayman Heights,9/23/15,,,,
2609 Cayman Heights,3/18/16,,,,
261 Grassland Park,6/3/10,,,,
